Wavelength (nm),P3HTPCBMBlendDCB_n,P3HTPCBMBlendDCB_k,n0,k0
687,1.96,0.01321504,1.5,0
688,1.95,0.013096,1.5,0
689,1.95,0.01303,1.5,0
690,1.95,0.012964,1.5,0
691,1.95,0.01291092,1.5,0
692,1.95,0.01285716,1.5,0
693,1.95,0.0127634,1.5,0
694,1.95,0.01266896,1.5,0
695,1.95,0.0126364,1.5,0
696,1.94,0.01260316,1.5,0
697,1.94,0.01257808,1.5,0
698,1.94,0.0125531,1.5,0
699,1.94,0.01250218,1.5,0
700,1.94,0.01245194,1.5,0
701,1.94,0.01241258,1.5,0
702,1.94,0.01237254,1.5,0
703,1.94,0.01237942,1.5,0
704,1.94,0.0123863,1.5,0
705,1.93,0.01225932,1.5,0
706,1.93,0.01213292,1.5,0
707,1.93,0.01206772,1.5,0
708,1.93,0.01200252,1.5,0
709,1.93,0.01189118,1.5,0
710,1.93,0.01177906,1.5,0
711,1.93,0.01152618,1.5,0
712,1.93,0.01127272,1.5,0
713,1.93,0.01099264,1.5,0
714,1.93,0.01071266,1.5,0
715,1.93,0.01045366,1.5,0
716,1.93,0.01019398,1.5,0
717,1.92,0.00985824,1.5,0
718,1.92,0.0095224,1.5,0
719,1.92,0.0092193,1.5,0
720,1.92,0.00891542,1.5,0
721,1.92,0.0086197,1.5,0
722,1.92,0.0083234,1.5,0
723,1.92,0.00803652,1.5,0
724,1.92,0.00774906,1.5,0
725,1.92,0.0074853,1.5,0
726,1.92,0.00722096,1.5,0
727,1.92,0.00697294,1.5,0
728,1.92,0.006724956,1.5,0
729,1.915,0.0064989,1.5,0
730,1.91,0.006272744,1.5,0
731,1.91,0.006094628,1.5,0
732,1.91,0.00591618,1.5,0
733,1.91,0.005703732,1.5,0
734,1.91,0.005491284,1.5,0
735,1.91,0.00533684,1.5,0
736,1.91,0.005182396,1.5,0
737,1.91,0.005107988,1.5,0
738,1.91,0.00503368,1.5,0
739,1.91,0.004806408,1.5,0
740,1.91,0.004578736,1.5,0
741,1.91,0.00447544,1.5,0
742,1.91,0.004372212,1.5,0
743,1.9,0.004279388,1.5,0
744,1.9,0.004186596,1.5,0
745,1.9,0.004032368,1.5,0
746,1.9,0.00387814,1.5,0
747,1.9,0.003837436,1.5,0
748,1.9,0.0037967,1.5,0
749,1.9,0.003697992,1.5,0
750,1.9,0.003599184,1.5,0
751,1.9,0.003463416,1.5,0
752,1.9,0.003327616,1.5,0
753,1.9,0.00326216,1.5,0
754,1.9,0.003196604,1.5,0
755,1.9,0.003104084,1.5,0
756,1.9,0.003011532,1.5,0
757,1.89,0.002989936,1.5,0
758,1.89,0.002968408,1.5,0
759,1.89,0.002900912,1.5,0
760,1.89,0.002833484,1.5,0
761,1.89,0.002682724,1.5,0
762,1.89,0.002532064,1.5,0
763,1.89,0.002452192,1.5,0
764,1.89,0.00237232,1.5,0
765,1.89,0.002261508,1.5,0
766,1.89,0.002150796,1.5,0
767,1.89,0.002122168,1.5,0
768,1.89,0.002093579,1.5,0
769,1.89,0.001984003,1.5,0
770,1.89,0.001874427,1.5,0
771,1.89,0.001818639,1.5,0
772,1.89,0.001762851,1.5,0
773,1.88,0.001718895,1.5,0
774,1.88,0.001675007,1.5,0
775,1.88,0.001596572,1.5,0
776,1.88,0.001518712,1.5,0
777,1.88,0.001475464,1.5,0
778,1.88,0.001432148,1.5,0
779,1.88,0.001411816,1.5,0
780,1.88,0.001391484,1.5,0
781,1.88,0.001296012,1.5,0
782,1.88,0.001200608,1.5,0
783,1.88,0.001133016,1.5,0
784,1.88,0.001065356,1.5,0
785,1.88,0.000966416,1.5,0
786,1.88,0.000867476,1.5,0
787,1.88,0.000843744,1.5,0
788,1.88,0.000820012,1.5,0
789,1.88,0.000786148,1.5,0
790,1.88,0.000752216,1.5,0
791,1.88,0.0006759,1.5,0
792,1.87,0.000599583,1.5,0
793,1.87,0.000540709,1.5,0
794,1.87,0.000481834,1.5,0
795,1.87,0.000423613,1.5,0
796,1.87,0.000365391,1.5,0
797,1.87,0.000271878,1.5,0
798,1.87,1.78E-04,1.5,0
799,1.87,1.88E-04,1.5,0
800,1.87,1.98E-04,1.5,0
